Hormone	Name of hormone	Source (for now, = released from)	Function	Target
	thyroid-stimulating hormone	promotes production of	thyroid hormone T4	
	thyroid hormone T4	production promoted by	thyroid-stimulating hormone	
	thyroid-stimulating hormone	has-target	thyroid	
	thyroid	target-of	thyroid-stimulating hormone	
ACTH				
	ACTH	abbreviation-of	adrenocorticotropic hormone	
	adrenocorticotropic hormone	has-abbreviation	ACTH	
	adrenocorticotropic hormone	has-source	anterior pituitary	
	anterior pituitary	source-of	adrenocorticotropic hormone	
	adrenocorticotropic hormone	regulates	cortisol	
	cortisol	regulated-by	adrenocorticotropic hormone	
	adrenocorticotropic hormone	regulates sugars		
	sugars	regulated-by	adrenocorticotropic hormone	
	adrenocorticotropic hormone	involved in	stress reaction	
	stress reaction	involves	adrenocorticotropic hormone	
	adrenocorticotropic hormone	has-target	adrenal cortex	
	adrenal cortex	target-of	adrenocorticotropic hormone	
GH				
	GH	abbreviation-of	growth hormone	
	growth hormone	has-abbreviation	GH	
	somatotropin	synonym-of	growth hormone	
	growth hormone	synonym-of	somatotropin	
	STH	abbreviation-of	somatotropin	
	somatotropin	has-abbreviation	STH	
	growth hormone	has-source	anterior pituitary	
	anterior pituitary	source-of	growth hormone	
	growth hormone	stimulates	growth	
	growth	stimulated-by	growth hormone	
	growth hormone	has-target	muscle	
	growth hormone 	has-target	bone	
	growth hormone 	has-target	viscera	
	muscle	target-of	growth hormone	
	bone	target-of	growth hormone	
	viscera	target-of	growth hormone	
PRL				
	PRL	abbreviation-of	prolactin	
	prolactin	has-abbreviation	PRL	
	prolactin	has-source	anterior pituitary	
	anterior pituitary	source-of	prolactin	
	prolactin	stimulates	milk secretion	
	milk secretion	stimulated-by	prolactin	
	prolactin	has-target	mammary glands	
	mammary glands	target-of	prolactin	
FSH				
	FSH	abbreviation-of	follicle-stimulating hormone	
	follicle-stimulating hormone	has-abbreviation	FSH	
	follicle-stimulating hormone	has-source	anterior pituitary	
	anterior pituitary	source-of	follicle-stimulating hormone	
	follicle-stimulating hormone	stimulates	ovarian follicles to break open and releasing ova	
	ovarian follicles’ breaking open and releasing ova	stimulated-by	follicle-stimulating hormone	
	follicle-stimulating hormone	has-target	ovarian follicles	
	ovarian follicles	target-of	follicle-stimulating hormone	
LH				
	LH	abbreviation-of	luteinizing hormone	
	luteinizing hormone	has-abbreviation	LH	
	luteinizing hormone	has-source	anterior pituitary	
	anterior pituitary	source-of	luteinizing hormone	
	luteinizing hormone	triggers	ovulation	
	ovulation	triggered-by	luteinizing hormone	
	luteinizing hormone	triggers	development of corpus luteum	
	development of corpus luteum	triggered-by	luteinizing hormone	
	luteinizing hormone	stimulates	Leydig cells' production of testosterone	
	Leydig cells' production of testosterone	stimulated-by	luteinizing hormone	
	luteinizing hormone	has-target	ovary	
	ovary	target-of	luteinizing hormone	
	luteinizing hormone	has-target	testis	
	testis	target-of	luteinizing hormone	
